Title,ISBN,Author,Publisher_Place,Edition_Statement,Type_of_Material,Physical_Medium,Physical_Description,Subject
Purani Asamiya sanaj aru sanskriti : aru ananya probandha,81-85905-88-6,"Neog, Maheswar","Guwahati, New Book Stall, 1971",3rd ed,Textual Document,Paper,138p,Assamese literature
Sanskrit samalochana sastrar bibartan aru dhara : aru ananya probandha,81-85905-88-6,"Sharma, Narendra Nath","Guwahati, Chandra prakashan, 1998",2nd ed,Textual Document,Paper,151p,Assamese literature; Criticism; Sanskrit
Asomiya bhasa aru sahityar itihash : aru ananya probandha,81-85905-88-6,"Goswami, Jatin","Guwahati, Joya Prakashan, 1988",2nd ed,Textual Document,Paper,390p,Assamese literature; Assamese language
Prabhandra Chaynika : aru ananya probandha,81-85905-88-6,"Sarma, Saytendra Nath","Guwahati, Guwahati Book Stall, 1979",2nd ed,Textual Document,Paper,228P,Assamese literature
Premhinata : aru ananya probandha,81-85905-88-6,"Goswami, Monoj","Guwahati, Classics Publishers, 1996",2nd ed,Textual Document,Paper,53P,Assamese literture; Short story
Kirtan puthir rash bichar : aru ananya probandha,81-85905-88-6,"Gohain, Hiren","Guwahati, LBS's Publication, 1981",2nd ed,Textual Document,Paper,37p,Assamese literture
Sahitya darshan : aru ananya probandha,81-85905-88-6,"Sastri, Aacharya Monoranjan","Nalbari, Swarojani Goswami, 1970",2nd ed,Textual Document,Paper,345p,Assamese literature
Bandhur pathat keijonman dekamahuah : aru ananya probandha,81-85905-88-6,"Sarma, Apurba","Guwahati, Abhijat pustak pratisthan, 1977",2nd ed,Textual Document,Paper,179p,Assamese literature; novel
Sisu parijat : aru ananya probandha,81-85905-88-6,"Ali, Sader","Jorhat, Assam Sahitya Sabha, 1986",2nd ed,Textual Document,Paper,179p,Assamese literature; Story
Asamiya aru asamar tibbat-bormiya bhasa : aru ananya probandha,81-85905-88-6,"Hakasam, Upen Rabha","Goalpara, Manjula Rabha Hakachamzak, Hakacham Kaosadam, 2000",1st ed,Textual Document,Paper,212p,Assamese language; Tibeto-Burman language; Demography
Natun Asomiya abhidhan : aru ananya probandha,81-85905-88-6,"Das, Prasannaram","Kokrajhar, Satya Ranjan Dey,Bina Library, 1991",1st ed,Textual Document,Paper,301p,Assamese literature; Assamese language; Middle Indo-Aryan language
Anandaram Dhekial Phukanar rachana sangrah : aru ananya probandha,81-85905-88-6,"Talukdar, Nanda","Guwahati, K N DuttaBaruah, Lawyer's Book Stall, 1977",1st ed,Textual Document,Paper,161p,Assamese literature; Biography; Works
Devi : aru ananya probandha,81-85905-88-6,"Bardoloi, Nirmalprabha","Guwahati, Sahitya prakashan, 1986",1st ed,Textual Document,Paper,522p,Assamese literature; Sakti cult; Criticism
Nirobadhi nadi : aru ananya probandha,81-85905-88-6,"Kakoti, Promod",Publisher & Place :,1st ed,Textual Document,Paper,70p,Assamese Poetry
Ranga megh : aru ananya probandha,81-85905-88-6,"Bhattacharya, Birendra Kumar","Calcutta, Sri Bhumi Publiching Co, 1982",2nd ed,Textual Document,Paper,114p,Assamese literature; Novel
Emily Bronte's Wuthering heights : aru ananya probandha,81-85905-88-6,"Kotoki, Prafulla","Guwahati, Anandaram Barua bhasa-kala sanskriti sanstha, 1994",2nd ed,Textual Document,Paper,361p,Assamese novel
Bemejali : aru ananya probandha,81-85905-88-6,"Devi, Snehlata",Publisher & Place :,2nd ed,Textual Document,Paper,87P,Assamese literature; Novel
Miss Julie Bookerar premar kahini : aru ananya probandha,81-85905-88-6,"Hatibarua, Jojneswar","Guwahati, K N DuttaBaruah, Lawyer's Book Stall, 1994",1st ed,Textual Document,Paper,230p,Assamese literature; Novel
Bireswar Baruar nirbachita galpa : aru ananya probandha,81-86028-04-8,"Barua, Bireswar","Guwahati, Kotha Publishers, 1993",1st ed,Textual Document,Paper,176p,Assamese literature; Story
Pralayar sital parash : aru ananya probandha,81-7339-103-3,"Hazarika, Ranju","Guwahati, Ananta Hazarika, Banalata, 1995",1st ed,Textual Document,Paper,31p,Assamese literature; Novel
Kinkiner kolongka : aru ananya probandha,81-7339-103-3,"Kumar, Kishor","Guwahati, Bangshidhar Sharma, Guwahti Book Stall, 1970",1st ed,Textual Document,Paper,152p,Assamese literature; Novel
Asamiya autihasik upanyash : aru ananya probandha,81-7339-103-3,"Bharali, Sailen","Pathsala, Bani Prakash, 1987",2nd ed,Textual Document,Paper,108p,Assamese literature; Novel; Criticism
Mainamati : aru ananya probandha,81-7339-103-3,"Choudhury, Lakhyadhar","Nalbari, K C Sarma, Nalbari, 1989",1st ed,Textual Document,Paper,215p,Assamese literature; Story
Palki : aru ananya probandha,81-7339-103-3,"Rajbanshi, Lily","Guwahati, Lily Rajbangshi, 1996",1st ed,Textual Document,Paper,79p,Assamese literature; Novel
Gahasttasair exa eta prempr kobita : aru ananya probandha,81-7339-103-3,"Thakur, Nagen","Guwahati, K N DuttaBaruah, Lawyer's Book Stall, 1999",1st ed,Textual Document,Paper,81p,Assamese poetry
Eta puroni galpar na rup : aru ananya probandha,81-7339-253,"Bhattacharya, Birendra Kumar","Guwahati, Ananta Hazarika, Banalata, 2000",1st ed,Textual Document,Paper,141p,Assamese literature; Short story
Jajati : aru ananya probandha,81-7339-253,"Khandekar, Bishnu Sakharam","Guwahati, Lawyer's Book Stall, 1998",2nd ed,Textual Document,Paper,568Pp,Assamese literature; Novel
Asomiya natak parampara aru pariabartan : aru ananya probandha,81-7339-253,"Rajbongshi, Poramananda","Guwahati, Chandra prakashan, 1995",2nd ed,Textual Document,Paper,170p,Assamese literature; Drama; Folk drama
Bharanda Pakshir jak : aru ananya probandha,81-7339-253,"Sarma, Umakanta","Guwahati, K N DuttaBaruah, Lawyer's Book Stall, 1992",1st ed,Textual Document,Paper,170p,Assamese literature; Novel
Tattva katha : aru ananya probandha,81-7339-253,"Bezbaruah, Lakshminath","Guwahati, K N DuttaBaruah, Lawyer's Book Stall, 1996",1st ed,Textual Document,Paper,216p,Assamese literature; Vaishnavism; Essays; Vaishnavism; Essays
Asamiya sahityar subas : aru ananya probandha,81-7339-253,"Hazarika, Parikhit","Tihu, Rajendra Mohan Sharma, Chandra Prakash, 1994",1st ed,Textual Document,Paper,141p,Assamese literature; Essays; Critical essays; Culture
Sanskrit samalochana sastrar bibartan aru dhara : aru ananya probandha,81-7339-253,"Sarma, Narendra Nath","Tihu, Chandra prakashan, 1994",1st ed,Textual Document,Paper,151p,Assamese literature; Sanskrit; Criticism
Asomiya sahityar subas : aru ananya probandha,81-7339-253,"Hazarika, Parikhit","Guwahati, Rajendra Mohan Sharma, Chandra Prakash, 1994",1st ed,Textual Document,Paper,141p,Assamese literature; Essays; Culture; Criticism
Kuri satikar asamiya byanga golpa sankalan : aru ananya probandha,81-7339-253,"Goswami, Kumud; Bhattacharya, Bhupendranarayan","Guwahati, Mayur Prakash, 1983",1st ed,Textual Document,Paper,350p,Assamese lietature; Short story
Prosongo : Banikanta,81-7339-253,"Baruah, Bhaben","Guwahati, Chandra prakashan, 1997",1st ed,Textual Document,Paper,179p,Assamese literature; Banikanta Kakati
Nirbachita bharatiya chuti galpa,81-260-0606-4,"Nabakanta, Baruah","New Delhi, Sahitya Academy, 1998",NA,Textual Document,Paper,186p,Assamese literature; Short stories; Indian short stotries
Purani asamiya sahityar sourav,81-260-0606-4,"Sharma, Nabin Chandra","Guwahati, Chandra prakashan, 1996",NA,Textual Document,Paper,262p,Assamese literature; Traditional literature
Aoitihask potabhumit mahapurush Sankardev,81-260-0606-4,"Mahanta, Bapchnadra","Jorhat, Gohaitekela Goan, 1987",1st ed,Textual Document,Paper,435p,Assamese literature; Mahapurush Sankardev
Sahitya alochana,81-260-0606-4,"Goswami, Trailokya Nath","Nalbari, Alok Prakashn Griha, 1950",1st ed,Textual Document,Paper,90p,Assamese literature
Saibsagar natya samajor itivritta : Samskritir eti puja,81-260-0606-4,"Bharali, Sahajananda",Publisher & Place :,1st ed,Textual Document,Paper,282p,Assamese literature; Historical facts
Prakrit sahityer adhyayan : Samskritir eti puja,81-86827-35-6,"Thakur, Nagen","Guwahati, Jyoti Prakashan, 1998",2nd ed,Textual Document,Paper,137p,Assamese literature; Prakrit literature
Tregedy bichar : Samskritir eti puja,81-86827-35-6,"Bharali, Sailen","Guwahati, Chandra prakashan, 1998",7th ed,Textual Document,Paper,63p,Assamese literature; Tragic drama
Pratighat : Samskritir eti puja,81-86827-35-6,"Bharali, Krishna Kamal","Assam, Jatia sahitya pratistha sangtha, 1990",1st ed,Textual Document,Paper,194p,Assamese literature; Drama
Barebaraniya asam : Samskritir eti puja,81-86827-35-6,"Doloi, Sriharinath","Barpeta, Shashi prabha Devi, 1994",1st ed,Textual Document,Paper,304p,Assamese literature; Folk culture; Culture
Lakhinath Bezbaruaar sahitya pratibha : Samskritir eti puja,81-86827-35-6,"Sashtri, Biswanarayan","Guwahati, Saraighat Prakashan, 1998",2nd ed,Textual Document,Paper,269p,Assamese literature; Biography; Works; Laksminath Bezbarua
How green was my valley : Samskritir eti puja,81-86827-35-6,"Lualin, Richard M","Guwahati, Lawyer's Book Stall, 1990",2nd ed,Textual Document,Paper,464p,Assamese literature; Novel
Marichika : Samskritir eti puja,81-86827-35-6,"Sharma, Sushil","Guwahati, Manisha Prakash, 1987",1st ed,Textual Document,Paper,480p,Assamese literature; Novel
Mok lage tomakei hera basundhara : Samskritir eti puja,81-86827-05-6,"Sharma Pathak, Jnanananda","Assam, Jyoti prakashan, 1996",1st ed,Textual Document,Paper,28,Assamese literature; Modern poems
Bhasa sahitya ityadi : nibandha sankalan,81-86827-05-6,"Bora, Hem","Guwahati, Chandra prakashan, 1997",2nd ed,Textual Document,Paper,132,Assamese literature; collected article
Dapon deshat alice : nibandha sankalan,81-86827-05-6,"Carroll, Lewis; Saikia, Prabina",Publisher & Place :,1st ed,Textual Document,Paper,142,Assamese literature; Child fiction
Asamiya sahityar aitihasik upanyas : nibandha sankalan,81-86827-05-6,"Bharali, Sailen","Guwahati, Bani prakash, 1895",1st ed,Textual Document,Paper,123,Assamese literature; Criticism of assamese novel
Nandantattva : prachya and praschatya,81-86827-05-6,"Goswami, Trailokya Nath","Dibrugarh, Dibrugarh University, 1980",1st ed,Textual Document,Paper,"xvii,624p",Assamese literature; Aesthetics; Estern and Western
Mamoni Roysom : swapna-duswapna'r diary,81-86827-05-6,"Bharali, Hemanta Kumar","Guwahati, Chitralekha publication, 1998",1st ed,Textual Document,Paper,225,Assamese literature; Collection
Apah phulil apah saril : swapna-duswapna'r diary,81-86827-05-6,"Sabhapandit, Kamakshya","Calcutta, Asam book depot, 1967",1st ed,Textual Document,Paper,134,Assamese literature; Assamese novel
Saru manuhar khong : swapna-duswapna'r diary,81-86827-05-6,"Sarma, Jiten","Guwahati, Janaki prakashan, 1994",1st ed,Textual Document,Paper,90,Literature; Assamese novel
Rudin : swapna-duswapna'r diary,81-86827-05-6,"Turgenev, I S; Talukdar, Chakreswar","Nalbari, [s.n.], 1992",1st ed,Textual Document,Paper,192,Assamese literature; novel
Kuri satikar assamiya kabita : swapna-duswapna'r diary,81-86827-05-6,"Phukan, Nilamoni","Guwahati, Asam prakashan parishad, 1977",1st ed,Textual Document,Paper,"27,273",Assamese poetry; Collection
Mriga-trishana : swapna-duswapna'r diary,81-86827-05-6,"Baruah, Kanchan","Jorhat, Jyoti prakashan, 1985",1st ed,Textual Document,Paper,153,Assamese short stories; Collection
Pransikha : swapna-duswapna'r diary,81-86827-05-6,"Dutta, Nilima","Pathsala, Bani Prakash, 1987",1st ed,Textual Document,Paper,185,Assamese novel
Sanskrit somalochana sastar vivartana aru dhara : swapna-duswapna'r diary,81-86827-05-6,"Sarma, Narendra Nath","Guwahati, Chandra prakashan, 1998",3rd ed,Textual Document,Paper,151,Assamese literature; Criticism of Sanskrit literature
Sugandhi pokhila : swapna-duswapna'r diary,81-86827-05-6,"Bhattachariya, Hiren","Guwahati, Paribesak prakashika, 1981",1st ed,Textual Document,Paper,160,Assamese literature; Collection of poems
Mrityunjay : swapna-duswapna'r diary,81-86827-05-6,"Bhattacharyya, Birendra kumar","Guwahati, Sahitya prakashan, 1980",2nd ed,Textual Document,Paper,268,Assamese fiction; Novel
Romenticism aru gitimanas : swapna-duswapna'r diary,81-7339-047-9,"Dutta, Hirendra Nath","Guwahati, Banlata, 1994",1st ed,Textual Document,Paper,284,Assamese literature; European romenticism
Ajan desat Alic : swapna-duswapna'r diary,81-7339-047-9,"Saikia, Prabina","Guwahati, Asam prakashan parishad, 1980",2nd ed,Textual Document,Paper,113,Child literature; Assamese fiction
Sahitya : prasya aru pasattya,81-7339-047-9,"Pathak, Dayananda","Guwahati, Chandra prakashan, 1999",1st ed,Textual Document,Paper,134,Assamese literature; Collected articles
"Asamiya bhasa, sahitya aru sansktiti : prasya aru pasattya",81-7339-047-9,"Bharali, Sailen","Guwahati, Chandra prakashan, 1996",2nd ed,Textual Document,Paper,198,Assamese literature; Assamese culture; Origin
Sahitya saskritir prabah : prasya aru pasattya,81-7339-047-9,"Sarma, Jajneswar","Guwahati, Guwahati book stall, 1973",1st ed,Textual Document,Paper,22x14cm,Assamese literature; Collected articles
Asamiya bhasar moulik bisar aru sahityar chinaki : prasya aru pasattya,81-7331-027-0,"Bharali, Debananda","Guwahati, Lawyer's book stall, 1993",3rd ed,Textual Document,Paper,"xxiv,199",Assamese language; Origin; Evaluation
Maharathi : prasya aru pasattya,81-7339-022-3,"Saikia, Chandraprasad","Guwahati, Banalata, 1999",3rd ed,Textual Document,Paper,187,Assamese literature; Novel
Asamiya sahitya bithika : prasya aru pasattya,81-7339-022-3,"Sarma, Durgeswar","Guwahati, Bina library, 1997",1st ed,Textual Document,Paper,184,Assamese literature; Collection of literary essays
Surujmukhir sapna : prasya aru pasattya,81-7339-022-3,"Malik, Abdul","Calcutta, Bhavani publishing concern, 1960",1st ed,Textual Document,Paper,193,Assamese literature; novel
Tinikhan bharatia upanyas : prasya aru pasattya,81-7339-101-7,"Mahanta, Lakshmi kanta","Guwahati, Banlata, 1995",1st ed,Textual Document,Paper,136,Assamese literature; Indian Novel; Criticism
Chaharat eraati : prasya aru pasattya,81-7339-101-7,"Bhuyan, Nikunjalata","Guwahati, Bhuyan prakashan, 1999",1st ed,Textual Document,Paper,83,Assamese fiction; Short stories
Ashokar anusasanmala : prasya aru pasattya,81-7339-101-7,"Thkur, Nagen","Guwahati, Jyoti prakashan, 1992",1st ed,Textual Document,Paper,93,About Asoka; Assamese version
Mahapurush srimanta Sankardev birasita kirtan : ek samikhyatmak alusana,81-7339-101-7,"Bhakat, Dwijendra nath","Tihu, Chandra prakashan, 1994",1st ed,Textual Document,Paper,101,Assamese literature; Criticism
Bogi baideur biya aru ananya golpa : ek samikhyatmak alusana,81-7339-101-7,"Gogoi, Mukti prosad","Guwahati, Premada Phukan, 1993",1st ed,Textual Document,Paper,22x14cm,Assamese literature; Assamese fictions
Manuhe jalai dip manuhar babe : ek samikhyatmak alusana,81-7339-101-7,"Das, Kumar Anukul","Guwahati, Das prakashan, 1988",1st ed,Textual Document,Paper,94,Assamese essays; Life sketches
Tattva katha : ek samikhyatmak alusana,81-7339-187-4,"Bezbaruah, Lakshminath","Guwahati, Banalata, 1999",1st ed,Textual Document,Paper,143,Assamese literature; Vaishnavism; Assamese essays
Asomia chutigalpar adhyayan : ek samikhyatmak alusana,81-7339-187-4,"Baruah, Prahlad kumar","Guwahati, Banalata, 1995",1st ed,Textual Document,Paper,"0.15,623",Assamese literature; Short stories; Critical analysis
Sahityar jeuti : ek samikhyatmak alusana,81-7339-187-4,"Hazarika, Parikhit","Guwahati, Bina library, 1992",2nd ed,Textual Document,Paper,133,Assamese literature; Collected articles
Mancha bharati Theater : Upanyas,81-7339-187-4,"Das, D C","Guwahati, Jonali prakash, 1977",1st ed,Textual Document,Paper,271,Assamese literature; Novel
Sahitya susama : Upanyas,81-7339-187-4,"Kalita, Sadhi Ram","Nalbari, Purbabharati prakashan, 2001",1st ed,Textual Document,Paper,134p,Assamese literature; Essays; Criticism
Parash mani : Upanyas,81-7331-094-7,"Malik, Syed Abdul","Guwahati, Lawyer's book stall, 1995",3rd ed,Textual Document,Paper,161,Assamese literature; Short stories
An Introduction to Assamese Phonology : Upanyas,81-7331-094-7,"Goswami, Golok Chandra","Poona, Decan College Post Graduate & Research Institute, 1966",3rd ed,Textual Document,Paper,"xiv,160p.",Assamese Grammar
Anglo Assamese Dictionary : Upanyas,81-7331-094-7,Author :,"Gauhati, Datta Baruah & Co, 1974",13th rev ed,Textual Document,Paper,"859, xxiii",English Language - Dictionaries - Assamese;Assamese Language - Dictionaries - English
Ekuri-eta Chuti galpa,NA,"Bhattacharya, Brendra Kumar; Tagore, Rabindranath","New Delhi, Sahitya Academy, 1961",NA,NA,Textual Documents,528p,Assamese; English
Dr. Bhabendra Nath Saikia : Srasta aru Drasta,NA,Nath Hiren Chandra; Nath Praneswar,"Guwahati, Kunti Devi trust, 2005",NA,Textual Document,Paper,348p,Assamese literature - collections; Assamese prose literature - criticism; Bhabendra Nath Saikia-Biography
Bakul Jetia Sore : Srasta aru Drasta,NA,"Goswami, Prabodh Chandra","Nalbari, Dutta Baruah & Co, 1964",1st ed,Textual Document,Paper,313,Assamese fiction
Asom Keshari Ambikagiri : Srasta aru Drasta,NA,"Das, Prasannaram","Guwahati, Pocket Book Centre, 1989",1st ed,Textual Document,Paper,629p,Assamese literature
Sahitya aru sanskriti : Srasta aru Drasta,NA,"Daloi, H N Sarma","Barpeta, Padmapriya Library, 1987",2nd ed,Textual Document,Paper,629p,Assamese literature; Literary essay
Katha Mahabharat : Srasta aru Drasta,NA,"Rajagopalachari, C","Guwahati, Assam Publication Board, 1975",3rd ed,Textual Document,Paper,629p,Assamese literature
Bharatar swadhinata sangramar itihas : Srasta aru Drasta,NA,"Sarma, Debendranath","Guwahati, Bharat Publication, 1983",1st ed,Textual Document,Paper,111p,Assamese Literature
Sahitya : Prasya aru Pasatytya,NA,"Pathak, Dayananda","Guwahati, Chandra Prakashan, 1999",1st ed,Textual Document,Paper,172p,Assamese literature
Assamiya sanskritir suvanda : Prasya aru Pasatytya,NA,"Chaliha, Parag","Pathsala, Bani Prakashan, 1966",1st ed,Textual Document,Paper,172p,Assamese
Shrimanta Sankardev aru teor jugar Vaishnata Charyasakal : Prasya aru Pasatytya,NA,"Barman, Shibnath","Guwahati, Paki, 1993",1st ed,Textual Document,Paper,258p,Assamese
Smriti grantha : Prasya aru Pasatytya,NA,"Dutta, Karuna","Barpeta, Gobardhan, 1994",1st ed,Textual Document,Paper,258p,Assamese Literature
Kalidasar meghdutom : Prasya aru Pasatytya,NA,"Sarma, Kailash","Nalbari, Shrikrishna Puthibharal, 2000",1st ed,Textual Document,Paper,"x, 385p",Assamese
Jaya manika ityadi : Prasya aru Pasatytya,NA,"Malik, Abdul","Kolkata, Shribhumi, 1971",1st ed,Textual Document,Paper,356,Assamese
Nandan tatta : prachyaaru paschaiyatya,NA,"Goswami, Trailokya Nath","Guwahati, Bani Prakashan, 1993",1st ed,Textual Document,Paper,356,Assamese
Paramparagata prachya natyabhinaya : prachyaaru paschaiyatya,NA,"Sarmah, S N","Guwahati, New Book Stall, 1969",1st ed,Textual Document,Paper,431p,Assamese literature
Chaudharir sahitya pratibha : prachyaaru paschaiyatya,NA,"Chaudhary, Raghunath","Guwahati, Sahitya Sabha, 1964",1st ed,Textual Document,Paper,431p,Assamese literature
Dhumuhar pisot : prachyaaru paschaiyatya,NA,"Dutta, Nilima","Guwahati, Student Stores, 1992",1st ed,Textual Document,Paper,340p,Assamese literature; Fiction
Egos bontir endhar : prachyaaru paschaiyatya,NA,"Gohain, Hiren","Nalbari, Journal Emporium, 1993",1st ed,Textual Document,Paper,340p,Assamese literature
Sampratik Asomiya kavita : prachyaaru paschaiyatya,NA,Author :,"Tezpur, Sahitya Kala Parishad, 1986",1st ed,Textual Document,Paper,"ii, 303p",Assamese literature; Assamese poetry
Srijan aru manan : prachyaaru paschaiyatya,NA,"Ullah, Emdad","Guwahati, Guwahati Book Stall, 1980",1st ed,Textual Document,Paper,176p,Assamese literature
Toslimara jar dukhoni vorik sun kori tulila : prachyaaru paschaiyatya,NA,"Hussain, Sayed Faruque","Guwahati, Tulana, 1996",1st ed,Textual Document,Paper,369p,Assamese literature
Samakalia galpa : prachyaaru paschaiyatya,NA,Author :,"Guwahati, Asom Lekhika Sangstha, 1984",1st ed,Textual Document,Paper,"xi, 168p",Assamese literature; Short stories
Jibanar chari adhyaya : prachyaaru paschaiyatya,NA,"Sarma, Adyanath","Nalbari, A Sarma, 1969",1st ed,Textual Document,Paper,369p,Assamese literature; Fiction
Malati Madhab : prachyaaru paschaiyatya,NA,Bhabubir,Publisher & Place :,1st ed,Textual Document,Paper,683p,Assamese literature
Rabha sadhu : prachyaaru paschaiyatya,NA,"Rabha, Rajen","Guwahati, Asam Sahitya Sabha, 1977",1st ed,Textual Document,Paper,683p,Assamese literature
Arunoday : prachyaaru paschaiyatya,NA,"Brown, N","Guwahati, Prakashan Parishad, 1983",1st ed,Textual Document,Paper,683p,Assamese literature
Bharatiya darsharat abhumuki : prachyaaru paschaiyatya,NA,"Barua, Girish","Guwahati, Bani Prakashan, 1976",1st ed,Textual Document,Paper,"ix,353p",Assamese literature; Philosophy
Biplabar gan : prachyaaru paschaiyatya,NA,"Mai, Sin","Nalbari, Lokhami, 1990",1st ed,Textual Document,Paper,111p,Assamese literature
Sendur : prachyaaru paschaiyatya,NA,"Saikia, Bhabendra Nath","Guwahati, Lawyers Book Stall, 1988",1st ed,Textual Document,Paper,"xvi, 345p",Assamese literature; Fiction
Sikhyak : prachyaaru paschaiyatya,NA,"Barthakur, Dulal Chandra","Guwahati, Lawyers Book Stall, 1988",1st ed,Textual Document,Paper,"xvi, 345p",Assamese literature
Gurulila : prachyaaru paschaiyatya,NA,"Das, Ramray","Guwahati, B Charan, 1950",1st ed,Textual Document,Paper,208p,Assamese literature; Poetry
Madhadeb aru sangskriti : prachyaaru paschaiyatya,NA,"Chaliha, Bhaba Prasad","Guwahati, Srimanta Sankardev Sangha, 1989",1st ed,Textual Document,Paper,208p,Assamese literature
Sahitya- Pravesha : prachyaaru paschaiyatya,NA,"Sarma Daloi,Harinath","Barpeta, Padmapriya Library, 1986",1st ed,Textual Document,Paper,"vi,282p",Assamese literature
Galpa samagra : prachyaaru paschaiyatya,NA,"Bora, Mohim","Guwahati, Golok Roymedhi Smriti Prakashan, 1993",1st ed,Textual Document,Paper,214p,Assamese literature
Biplabar gan : prachyaaru paschaiyatya,NA,"Mai, Sin","Nalbari, Lakhemi, 1990",1st ed,Textual Document,Paper,214p,Assamese literature
Dr Hiranya Chandra Bhuyan smritigrantha : prachyaaru paschaiyatya,NA,Author :,"Guwahati, Assam Science Society, 1974",1st ed,Textual Document,Paper,"x, 214p",Assamese literature; Essays
Parash mani : prachyaaru paschaiyatya,NA,"Malik, Syed Abdul","Guwahati, Lawyers Book Stall, 1946",1st ed,Textual Document,Paper,105p,Assamese literature; Short stories
Asamiya jati tikiba ne? : prachyaaru paschaiyatya,NA,"Deka, Hitesh","Guwahati, Deka Prakashan, 1980",1st ed,Textual Document,Paper,"x,418p",Assamese literature; Literary article
Aaytir uruli : prachyaaru paschaiyatya,NA,"Kalita, Phulkumari","Barpeta, Nabin Ch Kalita, 1992",1st ed,Textual Document,Paper,359p,Assamese literature
Vedanta aru Vaisnavadharma : prachyaaru paschaiyatya,NA,"Basu, J","Dibrugarh, Department of Assamese, Dibrugarh University, 1978",1st ed,Textual Document,Paper,735p,Religion; Vedanta; Vaisnava
Chindio Karma Bandhan : prachyaaru paschaiyatya,NA,"Bhuyan, Jogendra Nath","Guwahati, Guwahati book Stall, 1980",1st ed,Textual Document,Paper,102p,Assamese literature; Literary article
Asamiya sahityar sanskrit : prachyaaru paschaiyatya,NA,"Barkataki, B",Publisher & Place :,1st ed,Textual Document,Paper,"viii, 272p",Assamese literature
Ayeto jiban : prachyaaru paschaiyatya,NA,"Deka, Hitesh","Guwahati, Dutta Baruah & Co, 1962",1st ed,Textual Document,Paper,360p,Assamese; Fiction; Eyeta giban
Suriyo heno lukay asey : prachyaaru paschaiyatya,NA,"Chakraborty, Nal","Guwahati, Sumeru, 1962",1st ed,Textual Document,Paper,147p,Assamese literature; Novel
Suruj Mukhir Sapna : prachyaaru paschaiyatya,NA,Malik. S.B,"Guwahati, Prakashan Pratishthan, 1914",1st ed,Textual Document,Paper,323p,Assamese Novel; Drama
Chah majdhuror majat prachalita sadhu : prachyaaru paschaiyatya,NA,"Sharma, Jotindra Nath",Publisher & Place :,1st ed,Textual Document,Paper,507p,Assamese literature; Story; Chah majdhuror
Romanticism aru gitimanas : prachyaaru paschaiyatya,NA,"Dutta, Harendra Nath","Guwahati, Banalata, 1994",1st ed,Textual Document,Paper,"xx,343p",Assamese literature; Romanticism
Charat eraati : prachyaaru paschaiyatya,NA,"Bhuyan, Nikunjalata","Guwahati, Bhuyan Prakashan, 1999",1st ed,Textual Document,Paper,131p,Assamese literature; Fiction; Charat eraati
Ajak manuh akhan aranya : prachyaaru paschaiyatya,NA,"Sarma, Uma Kanta","Guwahati, Bani Prakashan, 1986",1st ed,Textual Document,Paper,131p,Assamese literature; Fiction
